game_date,CH,CS,CU,EP,FA,FC,FF,FS,KC,KN,SC,SI,SL
2021-07-31,1812.0972850678734,2663.0,2484.709923664122,,,2344.065972222222,2269.2049564634963,1344.4615384615386,2575.449438202247,,,2118.695890410959,2376.7459207459206
2021-08-01,1784.9703557312253,2515.0,2506.235294117647,,1638.5714285714287,2313.6019736842104,2250.587892049599,1273.235294117647,2478.285714285714,,,2093.1843434343436,2425.4598337950138
2021-08-02,1657.7443820224719,,2400.6264367816093,,,2295.4615384615386,2211.927752293578,1006.2352941176471,2234.757575757576,,,2049.4483568075116,2302.6415094339623
2021-08-03,1684.2043956043956,2029.0,2463.123966942149,,,2267.329218106996,2249.564393939394,1299.8931297709923,2775.0163934426228,,,2088.923753665689,2430.5767077267637
2021-08-04,1728.3488372093022,,2456.8026666666665,,,2287.0232558139537,2257.2734889287854,1189.6046511627908,2404.970588235294,,,2123.2811059907835,2358.2959064327483
2021-08-05,1692.4884910485935,2448.6666666666665,2463.9207650273224,,,2295.5662650602408,2228.9613402061855,1238.84,2525.3714285714286,,,2120.4248175182483,2316.181818181818
2021-08-06,1831.9191564147627,1588.0,2522.6363636363635,,1781.5,2357.3225806451615,2257.2842339008143,1178.888888888889,2508.5694444444443,,,2099.576725025747,2372.642191142191
2021-08-07,1726.355072463768,2196.5,2530.2720588235293,770.8,1985.75,2416.7255639097743,2241.921322690992,1097.5714285714287,2516.8805970149256,,,2112.9925512104282,2365.1170454545454
2021-08-08,1624.0242424242424,,2441.0059701492537,,,2248.7667984189725,2236.1880952380952,1455.6796116504854,2519.843137254902,,,2073.243902439024,2420.731732776618
2021-08-09,1769.811475409836,,2536.1478873239435,,,2454.366666666667,2330.3916256157636,938.875,2451.0,,,2134.2833333333333,2416.1784511784513
2021-08-10,1723.8940936863544,2497.0,2395.840220385675,,,2315.8260869565215,2223.8619246861927,1174.9545454545455,2407.4594594594596,,,2113.5113788487283,2365.4963350785342
2021-08-11,1762.892857142857,,2469.7513966480446,,,2326.308108108108,2238.018590240124,1327.5826086956522,2364.5,,,2113.634116192831,2326.56
2021-08-12,1712.242819843342,,2449.858044164038,,,2363.97510373444,2232.271748135874,1258.296875,2406.2413793103447,,,2053.5096418732783,2429.977453580902
2021-08-13,1691.576923076923,,2538.281914893617,,,2401.6007604562737,2243.309215017065,1776.1153846153845,2428.233644859813,,,2100.68,2344.076923076923
2021-08-14,1773.839552238806,2251.0,2519.6436464088397,,,2306.402144772118,2249.6025798525798,1233.785046728972,2465.8313253012047,,,2079.0641025641025,2365.4184652278177
2021-08-15,1698.9980916030534,2261.0,2423.6866096866097,,,2263.2021857923496,2241.354898336414,1196.892857142857,2524.737288135593,,,2107.3572433192685,2358.0031746031746
2021-08-16,1647.9917127071824,2531.5,2465.885167464115,,,2228.2775330396476,2270.1397288842545,1284.8333333333333,2551.6315789473683,,,2110.520618556701,2397.496453900709
