,name_last,name_first,key_mlbam,spin_low_conf,spin_high_conf,spin_difference_conf,%k conf_low,%k conf_high,%k difference_conf,%K mean,spin rate mean
217,buehrle,mark,279824,2295.1755,2325.5352,30.359537,0.0712457,0.09573993,0.024494233,0.083492815,2310.3555
218,bukauskas,j. b.,656266,2285.0298,2326.009,40.979218,0.0126859825,0.014321963,0.0016359811,0.013503972,2305.5195
219,bumgarner,madison,518516,1992.942,2005.9064,12.964337,0.05842888,0.06905109,0.010622206,0.063739985,1999.4242
220,bummer,aaron,607481,1897.1779,1928.5364,31.35848,0.010124269,0.011440505,0.0013162361,0.010782387,1912.8572
221,bundy,dylan,605164,2183.6648,2235.9905,52.325703,0.014949932,0.01691934,0.0019694075,0.015934635,2209.8276
222,burawa,danny,592181,2064.2036,2109.1414,44.93784,0.06569942,0.089232124,0.023532705,0.07746577,2086.6724
223,burdi,nick,595897,2280.2812,2309.8135,29.532207,0.013942128,0.015735056,0.0017929281,0.014838592,2295.0474
224,burdi,zack,641420,1821.9272,1871.4436,49.516285,0.07104575,0.09818825,0.027142504,0.084617,1846.6854
225,burgos,enrique,542609,2529.5508,2547.3257,17.774813,0.013282751,0.014901698,0.0016189473,0.014092224,2538.4382
226,burke,brock,656271,1812.014,1866.1602,54.14622,0.01377649,0.015599928,0.0018234374,0.01468821,1839.087
